year,forecast
2018-12-31,6.5063819035278945
2019-12-31,6.508897928143843
2020-12-31,6.511413952759791
2021-12-31,6.5139299773757395
2022-12-31,6.516446001991688
2023-12-31,6.518962026607636
2024-12-31,6.521478051223585
2025-12-31,6.523994075839534
2026-12-31,6.526510100455482
2027-12-31,6.5290261250714305
2028-12-31,6.531542149687379
2029-12-31,6.534058174303327
2030-12-31,6.536574198919276
2031-12-31,6.539090223535224
2032-12-31,6.541606248151172
2033-12-31,6.544122272767121
2034-12-31,6.546638297383069
2035-12-31,6.549154321999017
2036-12-31,6.551670346614966
2037-12-31,6.554186371230914
2038-12-31,6.556702395846862
2039-12-31,6.559218420462811
2040-12-31,6.56173444507876
2041-12-31,6.564250469694708
2042-12-31,6.566766494310657
2043-12-31,6.569282518926605
2044-12-31,6.571798543542553
2045-12-31,6.574314568158502
2046-12-31,6.57683059277445
2047-12-31,6.5793466173903985
2048-12-31,6.581862642006347
2049-12-31,6.584378666622295
2050-12-31,6.586894691238244
2051-12-31,6.589410715854192
2052-12-31,6.59192674047014
2053-12-31,6.594442765086089
2054-12-31,6.596958789702038
2055-12-31,6.599474814317986
2056-12-31,6.601990838933935
2057-12-31,6.604506863549883
2058-12-31,6.607022888165831
2059-12-31,6.60953891278178
2060-12-31,6.612054937397728
2061-12-31,6.614570962013676
2062-12-31,6.617086986629625
2063-12-31,6.619603011245573
2064-12-31,6.622119035861521
2065-12-31,6.62463506047747
2066-12-31,6.627151085093418
2067-12-31,6.6296671097093665
2068-12-31,6.632183134325315
2069-12-31,6.634699158941263
2070-12-31,6.637215183557212
2071-12-31,6.639731208173161
2072-12-31,6.642247232789109
2073-12-31,6.6447632574050575
2074-12-31,6.647279282021006
2075-12-31,6.649795306636954
2076-12-31,6.6523113312529025
2077-12-31,6.654827355868851
2078-12-31,6.657343380484799
2079-12-31,6.659859405100748
2080-12-31,6.662375429716696
2081-12-31,6.664891454332644
2082-12-31,6.667407478948593
2083-12-31,6.669923503564541
2084-12-31,6.67243952818049
2085-12-31,6.674955552796439
2086-12-31,6.677471577412387
2087-12-31,6.679987602028335
2088-12-31,6.682503626644284
2089-12-31,6.685019651260232
2090-12-31,6.68753567587618
2091-12-31,6.690051700492129
2092-12-31,6.692567725108077
2093-12-31,6.695083749724025
2094-12-31,6.697599774339974
2095-12-31,6.700115798955922
2096-12-31,6.7026318235718705
2097-12-31,6.705147848187819
2098-12-31,6.707663872803767
2099-12-31,6.710179897419716
2100-12-31,6.712695922035665
2101-12-31,6.715211946651613
2102-12-31,6.7177279712675615
2103-12-31,6.72024399588351
2104-12-31,6.722760020499458
2105-12-31,6.7252760451154066
2106-12-31,6.727792069731355
2107-12-31,6.730308094347303
2108-12-31,6.732824118963252
2109-12-31,6.7353401435792
2110-12-31,6.737856168195148
2111-12-31,6.740372192811097
2112-12-31,6.742888217427045
2113-12-31,6.745404242042993
2114-12-31,6.747920266658943
2115-12-31,6.750436291274891
2116-12-31,6.752952315890839
2117-12-31,6.755468340506788
